,confidence,price
2014-12-31,0.0,2058.89990234375
2015-01-02,0.0,2058.199951171875
2015-01-05,0.0,2020.5799560546875
2015-01-06,0.0,2002.6099853515625
2015-01-07,0.008,2025.9000244140625
2015-01-08,0.0,2062.139892578125
2015-01-09,0.008,2044.81005859375
2015-01-12,0.008,2028.260009765625
2015-01-13,0.008,2023.030029296875
2015-01-14,0.0,2011.27001953125
2015-01-15,0.0,1992.6700439453125
2015-01-16,0.008,2019.4200439453125
2015-01-20,0.0,2022.550048828125
2015-01-21,0.0,2032.1199951171875
2015-01-22,0.008,2063.14990234375
2015-01-23,0.0,2051.820068359375
2015-01-26,0.016,2057.090087890625
2015-01-27,0.008,2029.550048828125
2015-01-28,0.024,2002.1600341796875
2015-01-29,0.016,2021.25
2015-01-30,0.032,1994.989990234375
2015-02-02,0.048,2020.8499755859375
2015-02-03,0.04,2050.030029296875
2015-02-04,0.056,2041.510009765625
2015-02-05,0.048,2062.52001953125
2015-02-06,0.064,2055.469970703125
2015-02-09,0.048,2046.739990234375
2015-02-10,0.024,2068.590087890625
2015-02-11,0.024,2068.530029296875
2015-02-12,0.016,2088.47998046875
2015-02-13,0.024,2096.989990234375
2015-02-17,0.008,2100.340087890625
2015-02-18,0.0,2099.679931640625
2015-02-19,0.008,2097.449951171875
2015-02-20,0.0,2110.300048828125
2015-02-23,0.008,2109.659912109375
2015-02-24,0.008,2115.47998046875
2015-02-25,0.008,2113.860107421875
2015-02-26,0.024,2110.739990234375
2015-02-27,0.032,2104.5
2015-03-02,0.024,2117.389892578125
2015-03-03,0.016,2107.780029296875
2015-03-04,0.032,2098.530029296875
2015-03-05,0.024,2101.0400390625
2015-03-06,0.024,2071.260009765625
2015-03-09,0.016,2079.429931640625
2015-03-10,0.008,2044.1600341796875
2015-03-11,0.016,2040.239990234375
2015-03-12,0.008,2065.949951171875
2015-03-13,0.008,2053.39990234375
2015-03-16,0.0,2081.18994140625
2015-03-17,0.0,2074.280029296875
2015-03-18,0.0,2099.5
2015-03-19,0.0,2089.27001953125
2015-03-20,0.0,2108.10009765625
2015-03-23,0.0,2104.419921875
2015-03-24,0.0,2091.5
2015-03-25,0.0,2061.050048828125
2015-03-26,0.0,2056.14990234375
2015-03-27,0.0,2061.02001953125
2015-03-30,0.0,2086.239990234375
2015-03-31,0.008,2067.889892578125
2015-04-01,0.008,2059.68994140625
2015-04-02,0.016,2066.9599609375
2015-04-06,0.016,2080.6201171875
2015-04-07,0.016,2076.330078125
2015-04-08,0.024,2081.89990234375
2015-04-09,0.016,2091.179931640625
2015-04-10,0.024,2102.06005859375
2015-04-13,0.024,2092.429931640625
2015-04-14,0.032,2095.840087890625
2015-04-15,0.032,2106.6298828125
2015-04-16,0.032,2104.989990234375
2015-04-17,0.016,2081.179931640625
2015-04-20,0.016,2100.39990234375
2015-04-21,0.016,2097.2900390625
2015-04-22,0.0,2107.9599609375
2015-04-23,0.0,2112.929931640625
2015-04-24,0.0,2117.68994140625
2015-04-27,0.0,2108.919921875
2015-04-28,0.0,2114.760009765625
2015-04-29,0.0,2106.85009765625
2015-04-30,0.0,2085.510009765625
2015-05-01,0.0,2108.2900390625
2015-05-04,0.0,2114.489990234375
2015-05-05,0.0,2089.4599609375
2015-05-06,0.0,2080.14990234375
2015-05-07,0.0,2088.0
2015-05-08,0.0,2116.10009765625
2015-05-11,0.0,2105.330078125
2015-05-12,0.0,2099.1201171875
2015-05-13,0.0,2098.47998046875
2015-05-14,0.0,2121.10009765625
2015-05-15,0.0,2122.72998046875
2015-05-18,0.0,2129.199951171875
2015-05-19,0.0,2127.830078125
2015-05-20,0.0,2125.85009765625
2015-05-21,0.008,2130.820068359375
2015-05-22,0.008,2126.06005859375
2015-05-26,0.008,2104.199951171875
2015-05-27,0.016,2123.47998046875
2015-05-28,0.048,2120.7900390625
2015-05-29,0.032,2107.389892578125
2015-06-01,0.016,2111.72998046875
2015-06-02,0.008,2109.60009765625
2015-06-03,0.024,2114.070068359375
2015-06-04,0.0,2095.840087890625
2015-06-05,0.008,2092.830078125
2015-06-08,0.0,2079.280029296875
2015-06-09,0.0,2080.14990234375
2015-06-10,0.008,2105.199951171875
2015-06-11,0.024,2108.860107421875
2015-06-12,0.016,2094.110107421875
2015-06-15,0.016,2084.429931640625
2015-06-16,0.008,2096.2900390625
2015-06-17,0.008,2100.43994140625
2015-06-18,0.016,2121.239990234375
2015-06-19,0.008,2109.989990234375
2015-06-22,0.008,2122.85009765625
2015-06-23,0.008,2124.199951171875
2015-06-24,0.016,2108.580078125
2015-06-25,0.008,2102.31005859375
2015-06-26,0.008,2101.489990234375
2015-06-29,0.0,2057.639892578125
2015-06-30,0.0,2063.110107421875
2015-07-01,0.0,2077.419921875
2015-07-02,0.0,2076.780029296875
2015-07-06,0.0,2068.760009765625
2015-07-07,0.024,2081.340087890625
2015-07-08,0.016,2046.6800537109375
2015-07-09,0.016,2051.31005859375
2015-07-10,0.048,2076.6201171875
2015-07-13,0.008,2099.60009765625
2015-07-14,0.024,2108.949951171875
2015-07-15,0.016,2107.39990234375
2015-07-16,0.032,2124.2900390625
2015-07-17,0.032,2126.639892578125
2015-07-20,0.016,2128.280029296875
2015-07-21,0.016,2119.2099609375
2015-07-22,0.024,2114.14990234375
2015-07-23,0.0,2102.14990234375
2015-07-24,0.008,2079.64990234375
2015-07-27,0.016,2067.639892578125
2015-07-28,0.016,2093.25
2015-07-29,0.008,2108.570068359375
2015-07-30,0.008,2108.6298828125
2015-07-31,0.008,2103.840087890625
2015-08-03,0.008,2098.0400390625
2015-08-04,0.0,2093.320068359375
2015-08-05,0.0,2099.840087890625
2015-08-06,0.0,2083.56005859375
2015-08-07,0.0,2077.570068359375
2015-08-10,0.0,2104.179931640625
2015-08-11,0.0,2084.070068359375
2015-08-12,0.0,2086.050048828125
2015-08-13,0.0,2083.389892578125
2015-08-14,0.0,2091.5400390625
2015-08-17,0.008,2102.43994140625
2015-08-18,0.0,2096.919921875
2015-08-19,0.0,2079.610107421875
2015-08-20,0.008,2035.72998046875
2015-08-21,0.0,1970.8900146484375
2015-08-24,0.072,1893.2099609375
2015-08-25,0.08,1867.6099853515625
2015-08-26,0.128,1940.510009765625
2015-08-27,0.16,1987.6600341796875
2015-08-28,0.12,1988.8699951171875
2015-08-31,0.104,1972.1800537109375
2015-09-01,0.112,1913.8499755859375
2015-09-02,0.104,1948.8599853515625
2015-09-03,0.064,1951.1300048828125
2015-09-04,0.112,1921.219970703125
2015-09-08,0.072,1969.4100341796875
2015-09-09,0.08,1942.0400390625
2015-09-10,0.048,1952.2900390625
2015-09-11,0.04,1961.050048828125
2015-09-14,0.072,1953.030029296875
2015-09-15,0.064,1978.0899658203125
2015-09-16,0.056,1995.31005859375
2015-09-17,0.064,1990.199951171875
2015-09-18,0.04,1958.030029296875
2015-09-21,0.04,1966.969970703125
2015-09-22,0.032,1942.739990234375
2015-09-23,0.032,1938.760009765625
2015-09-24,0.008,1932.239990234375
2015-09-25,0.032,1931.3399658203125
2015-09-28,0.016,1881.77001953125
2015-09-29,0.048,1884.0899658203125
2015-09-30,0.024,1920.030029296875
2015-10-01,0.024,1923.8199462890625
2015-10-02,0.032,1951.3599853515625
2015-10-05,0.048,1987.050048828125
2015-10-06,0.064,1979.9200439453125
2015-10-07,0.056,1995.8299560546875
2015-10-08,0.072,2013.4300537109375
2015-10-09,0.056,2014.8900146484375
2015-10-12,0.064,2017.4599609375
2015-10-13,0.032,2003.68994140625
2015-10-14,0.04,1994.239990234375
2015-10-15,0.04,2023.8599853515625
2015-10-16,0.024,2033.1099853515625
2015-10-19,0.048,2033.6600341796875
2015-10-20,0.04,2030.77001953125
2015-10-21,0.048,2018.93994140625
2015-10-22,0.04,2052.510009765625
2015-10-23,0.024,2075.14990234375
2015-10-26,0.04,2071.179931640625
2015-10-27,0.016,2065.889892578125
2015-10-28,0.064,2090.35009765625
2015-10-29,0.04,2089.409912109375
2015-10-30,0.032,2079.360107421875
2015-11-02,0.064,2104.050048828125
2015-11-03,0.064,2109.7900390625
2015-11-04,0.056,2102.31005859375
2015-11-05,0.04,2099.929931640625
2015-11-06,0.08,2099.199951171875
2015-11-09,0.096,2078.580078125
2015-11-10,0.056,2081.719970703125
2015-11-11,0.064,2075.0
2015-11-12,0.064,2045.969970703125
2015-11-13,0.072,2023.0400390625
2015-11-16,0.056,2053.18994140625
2015-11-17,0.064,2050.43994140625
2015-11-18,0.072,2083.580078125
2015-11-19,0.08,2081.239990234375
2015-11-20,0.096,2089.169921875
2015-11-23,0.08,2086.590087890625
2015-11-24,0.096,2089.139892578125
2015-11-25,0.096,2088.8701171875
2015-11-27,0.088,2090.110107421875
2015-11-30,0.104,2080.409912109375
2015-12-01,0.104,2102.6298828125
2015-12-02,0.112,2079.510009765625
2015-12-03,0.088,2049.6201171875
2015-12-04,0.096,2091.68994140625
2015-12-07,0.112,2077.070068359375
2015-12-08,0.096,2063.590087890625
2015-12-09,0.096,2047.6199951171875
2015-12-10,0.104,2052.22998046875
2015-12-11,0.08,2012.3699951171875
2015-12-14,0.08,2021.93994140625
2015-12-15,0.056,2043.4100341796875
2015-12-16,0.064,2073.070068359375
2015-12-17,0.032,2041.8900146484375
2015-12-18,0.072,2005.550048828125
2015-12-21,0.072,2021.1500244140625
2015-12-22,0.072,2038.969970703125
2015-12-23,0.064,2064.2900390625
2015-12-24,0.072,2060.989990234375
2015-12-28,0.072,2056.5
2015-12-29,0.08,2078.360107421875
2015-12-30,0.064,2063.360107421875
2015-12-31,0.088,2043.93994140625
2016-01-04,0.08,2012.6600341796875
2016-01-05,0.072,2016.7099609375
2016-01-06,0.072,1990.260009765625
2016-01-07,0.056,1943.0899658203125
2016-01-08,0.048,1922.030029296875
2016-01-11,0.032,1923.6700439453125
2016-01-12,0.008,1938.6800537109375
2016-01-13,0.024,1890.280029296875
2016-01-14,0.008,1921.8399658203125
2016-01-15,0.008,1880.3299560546875
2016-01-19,0.0,1881.3299560546875
2016-01-20,0.016,1859.3299560546875
2016-01-21,0.0,1868.989990234375
2016-01-22,0.0,1906.9000244140625
2016-01-25,0.008,1877.0799560546875
2016-01-26,-0.008,1903.6300048828125
2016-01-27,0.008,1882.949951171875
2016-01-28,0.0,1893.3599853515625
2016-01-29,0.0,1940.239990234375
2016-02-01,0.008,1939.3800048828125
2016-02-02,0.0,1903.030029296875
2016-02-03,0.0,1912.530029296875
2016-02-04,0.0,1915.449951171875
2016-02-05,0.0,1880.050048828125
2016-02-08,0.0,1853.43994140625
2016-02-09,0.0,1852.2099609375
2016-02-10,0.0,1851.8599853515625
2016-02-11,0.0,1829.0799560546875
2016-02-12,0.0,1864.780029296875
2016-02-16,0.0,1895.5799560546875
2016-02-17,0.016,1926.8199462890625
2016-02-18,0.024,1917.8299560546875
2016-02-19,0.016,1917.780029296875
2016-02-22,0.008,1945.5
2016-02-23,0.016,1921.27001953125
2016-02-24,0.016,1929.800048828125
2016-02-25,0.008,1951.699951171875
2016-02-26,0.016,1948.050048828125
2016-02-29,0.032,1932.22998046875
2016-03-01,0.008,1978.3499755859375
2016-03-02,0.024,1986.449951171875
2016-03-03,0.032,1993.4000244140625
2016-03-04,0.032,1999.989990234375
2016-03-07,0.024,2001.760009765625
2016-03-08,0.032,1979.260009765625
2016-03-09,0.024,1989.260009765625
2016-03-10,0.032,1989.5699462890625
2016-03-11,0.032,2022.18994140625
2016-03-14,0.024,2019.6400146484375
2016-03-15,0.032,2015.9300537109375
2016-03-16,0.024,2027.219970703125
2016-03-17,0.024,2040.5899658203125
2016-03-18,0.016,2049.580078125
2016-03-21,0.016,2051.60009765625
2016-03-22,0.016,2049.800048828125
2016-03-23,0.016,2036.7099609375
2016-03-24,0.016,2035.93994140625
2016-03-28,0.016,2037.050048828125
2016-03-29,0.016,2055.010009765625
2016-03-30,0.008,2063.949951171875
2016-03-31,0.008,2059.739990234375
2016-04-01,0.016,2072.780029296875
2016-04-04,0.0,2066.1298828125
2016-04-05,0.016,2045.1700439453125
2016-04-06,0.0,2066.659912109375
2016-04-07,0.0,2041.9100341796875
2016-04-08,0.0,2047.5999755859375
2016-04-11,0.0,2041.989990234375
2016-04-12,0.0,2061.719970703125
2016-04-13,0.0,2082.419921875
2016-04-14,0.008,2082.780029296875
2016-04-15,0.0,2080.72998046875
2016-04-18,0.0,2094.340087890625
2016-04-19,0.0,2100.800048828125
2016-04-20,0.0,2102.39990234375
2016-04-21,0.0,2091.47998046875
2016-04-22,0.0,2091.580078125
2016-04-25,0.0,2087.7900390625
2016-04-26,0.0,2091.699951171875
2016-04-27,0.0,2095.14990234375
2016-04-28,0.0,2075.81005859375
2016-04-29,0.0,2065.300048828125
2016-05-02,0.0,2081.429931640625
2016-05-03,0.0,2063.3701171875
2016-05-04,0.0,2051.1201171875
2016-05-05,0.0,2050.6298828125
2016-05-06,0.0,2057.139892578125
2016-05-09,0.0,2058.68994140625
2016-05-10,0.0,2084.389892578125
2016-05-11,0.0,2064.4599609375
2016-05-12,0.0,2064.110107421875
2016-05-13,0.0,2046.6099853515625
2016-05-16,0.0,2066.659912109375
2016-05-17,0.0,2047.2099609375
2016-05-18,0.0,2047.6300048828125
2016-05-19,0.008,2040.0400390625
2016-05-20,0.0,2052.320068359375
2016-05-23,0.0,2048.0400390625
2016-05-24,0.0,2076.06005859375
2016-05-25,0.0,2090.5400390625
2016-05-26,0.0,2090.10009765625
2016-05-27,0.0,2099.06005859375
2016-05-31,0.0,2096.949951171875
2016-06-01,0.0,2099.330078125
