Date;Price
10/04/2006;544.1599731
11/04/2006;545.5999756
12/04/2006;542.7199707
13/04/2006;550.5599976
17/04/2006;558.3200073
18/04/2006;566
19/04/2006;574.7999878
20/04/2006;568.7199707
21/04/2006;582.4799805
24/04/2006;568.0800171
25/04/2006;565.1199951
26/04/2006;556.3200073
27/04/2006;549.5999756
28/04/2006;556.960022
01/05/2006;572
02/05/2006;578.7199707
03/05/2006;561.7600098
04/05/2006;546.5599976
05/05/2006;544
08/05/2006;543.039978
09/05/2006;547.2000122
10/05/2006;558.1599731
11/05/2006;562.4000244
12/05/2006;552.8800049
15/05/2006;533.039978
16/05/2006;533.5999756
17/05/2006;525.5999756
18/05/2006;533.9199829
19/05/2006;524.5599976
22/05/2006;530.2399902
23/05/2006;542.1599731
24/05/2006;528.7999878
25/05/2006;542.4000244
26/05/2006;542
30/05/2006;546.5599976
31/05/2006;541.8400269
01/06/2006;534.5599976
02/06/2006;551.2000122
05/06/2006;549.9199829
06/06/2006;550.0800171
07/06/2006;538.2399902
08/06/2006;536.960022
09/06/2006;544.5599976
12/06/2006;536.6400146
13/06/2006;521.4400024
14/06/2006;526.3200073
15/06/2006;529.2800293
16/06/2006;530
19/06/2006;524.3200073
20/06/2006;522.3200073
21/06/2006;530.7999878
22/06/2006;536
23/06/2006;535.1199951
26/06/2006;541.5999756
27/06/2006;544.6400146
28/06/2006;546.4799805
29/06/2006;556.0800171
30/06/2006;558.1599731
03/07/2006;559.4400024
05/07/2006;568
06/07/2006;566.1599731
07/07/2006;558.7999878
10/07/2006;556.4799805
11/07/2006;560.6400146
12/07/2006;569.1199951
13/07/2006;586
14/07/2006;585.7600098
17/07/2006;573.2000122
18/07/2006;566
19/07/2006;558.7999878
20/07/2006;552.7999878
21/07/2006;556.1599731
24/07/2006;561.3599854
25/07/2006;552
26/07/2006;553.3599854
27/07/2006;557.4400024
28/07/2006;548
31/07/2006;556.1599731
01/08/2006;561.2000122
02/08/2006;568.960022
03/08/2006;564.4799805
04/08/2006;558.4799805
07/08/2006;576
08/08/2006;570.4000244
09/08/2006;569.3599854
10/08/2006;556.7999878
11/08/2006;557.8400269
14/08/2006;548.7199707
15/08/2006;545.6799927
16/08/2006;536.7999878
17/08/2006;528.4000244
18/08/2006;529.4400024
21/08/2006;539.3599854
22/08/2006;536.4000244
23/08/2006;528
24/08/2006;534
25/08/2006;532.4000244
28/08/2006;519.039978
29/08/2006;513.5200195
30/08/2006;518.7999878
31/08/2006;518.4000244
01/09/2006;510
05/09/2006;506.480011
06/09/2006;497.6000061
07/09/2006;495.1199951
08/09/2006;487.2000122
11/09/2006;480.2399902
12/09/2006;470.0799866
13/09/2006;472
14/09/2006;465.2000122
15/09/2006;464.3200073
18/09/2006;466.5599976
19/09/2006;450
20/09/2006;440.3999939
21/09/2006;447.1199951
22/09/2006;437.1199951
25/09/2006;445.3599854
26/09/2006;443.3599854
27/09/2006;457.2799988
28/09/2006;453.2000122
29/09/2006;456
02/10/2006;442.480011
03/10/2006;425.9200134
04/10/2006;432.3200073
05/10/2006;436.7200012
06/10/2006;434.7999878
09/10/2006;436.7999878
10/10/2006;429.3599854
11/10/2006;421.2000122
12/10/2006;427.4400024
13/10/2006;429.2000122
16/10/2006;437.7600098
17/10/2006;431.9200134
18/10/2006;422.7999878
19/10/2006;431.2000122
20/10/2006;422
23/10/2006;418.9599915
24/10/2006;422.7200012
25/10/2006;437.6000061
26/10/2006;429.2000122
27/10/2006;432
30/10/2006;415.8399963
31/10/2006;416.7999878
01/11/2006;416.9599915
02/11/2006;412
03/11/2006;421.4400024
06/11/2006;427.6000061
07/11/2006;420.7999878
08/11/2006;427.2000122
09/11/2006;436
10/11/2006;426.3999939
13/11/2006;418.7999878
14/11/2006;417.1199951
15/11/2006;420
16/11/2006;404.7200012
17/11/2006;407.519989
20/11/2006;407.7600098
21/11/2006;415.8399963
22/11/2006;410.480011
24/11/2006;414.3999939
27/11/2006;418.3999939
28/11/2006;421.6799927
29/11/2006;433.1199951
30/11/2006;436.6400146
01/12/2006;440.3999939
04/12/2006;433.6000061
05/12/2006;434.3999939
06/12/2006;431.1199951
07/12/2006;430.8800049
08/12/2006;428.6400146
11/12/2006;424
12/12/2006;420.3999939
13/12/2006;423.0400085
14/12/2006;429.8399963
15/12/2006;434.3999939
18/12/2006;425.2799988
19/12/2006;432
20/12/2006;432.3999939
21/12/2006;426.7200012
22/12/2006;423.3599854
26/12/2006;413.1199951
27/12/2006;410.7999878
28/12/2006;410.3999939
29/12/2006;412.7999878
03/01/2007;395.2000122
04/01/2007;379.1199951
05/01/2007;382.6400146
08/01/2007;379.9200134
09/01/2007;378.3999939
10/01/2007;362.8800049
11/01/2007;354.7200012
12/01/2007;357.0400085
16/01/2007;346.7200012
17/01/2007;353.7600098
18/01/2007;345.8399963
19/01/2007;355.4400024
22/01/2007;350.7200012
23/01/2007;365.2000122
24/01/2007;368.7999878
25/01/2007;362.1600037
26/01/2007;370.2399902
29/01/2007;359.7600098
30/01/2007;378.8800049
31/01/2007;385.9200134
01/02/2007;382.7200012
02/02/2007;394.7200012
05/02/2007;392.7999878
06/02/2007;393.6799927
07/02/2007;386
08/02/2007;398
09/02/2007;399.9200134
12/02/2007;386.9599915
13/02/2007;394.8800049
14/02/2007;387.6000061
15/02/2007;386.7999878
16/02/2007;394.7999878
20/02/2007;389.3599854
21/02/2007;398.8800049
22/02/2007;402.6400146
23/02/2007;403.6799927
