Date;Price
10/04/2006;550.5599976
17/04/2006;582.4799805
24/04/2006;556.960022
01/05/2006;544
08/05/2006;552.8800049
15/05/2006;524.5599976
22/05/2006;542
29/05/2006;551.2000122
05/06/2006;544.5599976
12/06/2006;530
19/06/2006;535.1199951
26/06/2006;558.1599731
03/07/2006;558.7999878
10/07/2006;585.7600098
17/07/2006;556.1599731
24/07/2006;548
31/07/2006;558.4799805
07/08/2006;557.8400269
14/08/2006;529.4400024
21/08/2006;532.4000244
28/08/2006;510
04/09/2006;487.2000122
11/09/2006;464.3200073
18/09/2006;437.1199951
25/09/2006;456
02/10/2006;434.7999878
09/10/2006;429.2000122
16/10/2006;422
23/10/2006;432
30/10/2006;421.4400024
06/11/2006;426.3999939
13/11/2006;407.519989
20/11/2006;414.3999939
27/11/2006;440.3999939
04/12/2006;428.6400146
11/12/2006;434.3999939
18/12/2006;423.3599854
25/12/2006;412.7999878
01/01/2007;382.6400146
08/01/2007;357.0400085
15/01/2007;355.4400024
22/01/2007;370.2399902
29/01/2007;394.7200012
05/02/2007;399.9200134
12/02/2007;394.7999878
19/02/2007;403.6799927
26/02/2007;408.0799866
05/03/2007;400.8800049
12/03/2007;387.3599854
19/03/2007;404.5599976
26/03/2007;426.7999878
02/04/2007;416.0799866
09/04/2007;412.1600037
16/04/2007;400.3999939
23/04/2007;414.7200012
30/04/2007;386.3999939
07/05/2007;388.5599976
14/05/2007;400.7999878
21/05/2007;396
28/05/2007;395.6799927
04/06/2007;392.480011
11/06/2007;412.2399902
18/06/2007;415.1199951
25/06/2007;424
02/07/2007;437.4400024
09/07/2007;444.3200073
16/07/2007;456
23/07/2007;461.9200134
30/07/2007;451.519989
06/08/2007;429.1199951
13/08/2007;432.2399902
20/08/2007;429.1199951
27/08/2007;446.2399902
03/09/2007;462.0799866
10/09/2007;478.3200073
17/09/2007;497.1199951
24/09/2007;500.3999939
01/10/2007;498.2399902
08/10/2007;512
15/10/2007;537.1199951
22/10/2007;569.3599854
29/10/2007;594.7999878
05/11/2007;598.1599731
12/11/2007;591.2000122
19/11/2007;614.0800171
26/11/2007;559.2800293
03/12/2007;555.4400024
10/12/2007;578.0800171
17/12/2007;590.4000244
24/12/2007;607.1199951
31/12/2007;618.4799805
07/01/2008;584.7199707
14/01/2008;572.3200073
21/01/2008;575.2800293
28/01/2008;563.7600098
04/02/2008;583.2000122
11/02/2008;607.4400024
18/02/2008;628.7999878
25/02/2008;643.3599854
03/03/2008;669.8400269
10/03/2008;692.0800171
17/03/2008;650.4000244
24/03/2008;674.960022
31/03/2008;679.039978
07/04/2008;707.8400269
14/04/2008;750.3200073
21/04/2008;765.2800293
28/04/2008;747.2000122
05/05/2008;816.960022
12/05/2008;818.1599731
19/05/2008;855.5999756
26/05/2008;824.4799805
02/06/2008;897.3599854
09/06/2008;873.5999756
16/06/2008;873.1199951
23/06/2008;910
30/06/2008;934.5599976
07/07/2008;939.1199951
14/07/2008;835.5200195
21/07/2008;794.1599731
28/07/2008;808.3200073
04/08/2008;741.4400024
11/08/2008;734.4000244
18/08/2008;740.3200073
25/08/2008;742.960022
01/09/2008;688.4799805
08/09/2008;651.9199829
15/09/2008;661.039978
22/09/2008;689.6799927
29/09/2008;602
06/10/2008;532
13/10/2008;474.9599915
20/10/2008;424
27/10/2008;444.7200012
03/11/2008;400.3200073
10/11/2008;369.4400024
17/11/2008;328
24/11/2008;336.7200012
01/12/2008;274
08/12/2008;304.7999878
15/12/2008;264.480011
22/12/2008;232.8000031
29/12/2008;285.0400085
05/01/2009;258.9599915
12/01/2009;238.8800049
19/01/2009;258.6400146
26/01/2009;233.7599945
02/02/2009;225.6000061
09/02/2009;204.8000031
16/02/2009;194.8000031
23/02/2009;216.3999939
02/03/2009;223.9199982
09/03/2009;221.0399933
16/03/2009;246.0800018
23/03/2009;246
30/03/2009;247.4400024
06/04/2009;245.5200043
13/04/2009;235.6000061
20/04/2009;231.1999969
27/04/2009;236.9600067
04/05/2009;259.9200134
11/05/2009;250.3999939
18/05/2009;269.6000061
25/05/2009;291.2000122
01/06/2009;299.2000122
08/06/2009;315.4400024
15/06/2009;303.7600098
22/06/2009;300.0799866
29/06/2009;288.3999939
06/07/2009;259.0400085
13/07/2009;273.9200134
20/07/2009;289.7600098
27/07/2009;294.480011
03/08/2009;301.2000122
10/08/2009;288.2399902
17/08/2009;305.8399963
24/08/2009;301.2799988
31/08/2009;281.0400085
07/09/2009;286.5599976
14/09/2009;296.9599915
21/09/2009;272
28/09/2009;286.9599915
05/10/2009;297.2799988
12/10/2009;323.6000061
19/10/2009;327.2799988
26/10/2009;314.5599976
02/11/2009;317.6000061
09/11/2009;312.9599915
16/11/2009;315.3599854
23/11/2009;308
30/11/2009;306.6400146
07/12/2009;283.8399963
14/12/2009;293.2799988
21/12/2009;305.6000061
28/12/2009;314.2399902
04/01/2010;327.4400024
11/01/2010;307.2000122
18/01/2010;290.7200012
25/01/2010;285.1199951
01/02/2010;281.6799927
08/02/2010;290.480011
15/02/2010;312.7200012
22/02/2010;310.5599976
01/03/2010;318.7999878
08/03/2010;316.0799866
15/03/2010;313.6000061
22/03/2010;310.6400146
29/03/2010;329.9200134
05/04/2010;329.3599854
12/04/2010;324.7999878
19/04/2010;327.6000061
26/04/2010;330.6400146
03/05/2010;290.480011
10/05/2010;278.480011
17/05/2010;258.1600037
24/05/2010;272.3200073
31/05/2010;261.4400024
07/06/2010;273.8399963
14/06/2010;283.2799988
21/06/2010;285.2799988
28/06/2010;260.7999878
05/07/2010;274.7200012
12/07/2010;273.2799988
19/07/2010;283.1199951
26/07/2010;282.7200012
02/08/2010;289.6000061
09/08/2010;270.3200073
16/08/2010;263.6000061
23/08/2010;268.5599976
30/08/2010;264.7200012
06/09/2010;270.1600037
13/09/2010;261.2000122
20/09/2010;267.2000122
27/09/2010;285.0400085
04/10/2010;289.2000122
11/10/2010;283.7600098
18/10/2010;283.9200134
25/10/2010;281.3599854
01/11/2010;301.2000122
08/11/2010;291.7600098
15/11/2010;281.7600098
22/11/2010;287.7600098
29/11/2010;306.480011
06/12/2010;301.2799988
13/12/2010;302.480011
20/12/2010;311.8399963
27/12/2010;312
03/01/2011;301.3599854
10/01/2011;311.3599854
17/01/2011;300.0799866
24/01/2011;300.6400146
31/01/2011;298.7200012
07/02/2011;288.3999939
14/02/2011;290.8800049
21/02/2011;317.4400024
28/02/2011;338.6400146
07/03/2011;325.519989
14/03/2011;327.7600098
21/03/2011;337.4400024
28/03/2011;345.3599854
04/04/2011;361.2000122
11/04/2011;349.6799927
18/04/2011;356.5599976
25/04/2011;361.2000122
02/05/2011;310.9599915
09/05/2011;315.519989
16/05/2011;315.7600098
23/05/2011;317.6799927
30/05/2011;317.2799988
06/06/2011;312.5599976
13/06/2011;293.0400085
20/06/2011;286.480011
27/06/2011;297.2000122
04/07/2011;302.3999939
11/07/2011;305.0400085
18/07/2011;311.4400024
25/07/2011;299.3599854
01/08/2011;271.6000061
08/08/2011;265.8399963
15/08/2011;256.9599915
22/08/2011;265.2000122
29/08/2011;269.1199951
05/09/2011;270.7999878
12/09/2011;273.1199951
19/09/2011;248.7200012
26/09/2011;243.9199982
03/10/2011;256.3200073
10/10/2011;270.9599915
17/10/2011;270.7999878
24/10/2011;288.2399902
31/10/2011;291.6799927
07/11/2011;305.6799927
14/11/2011;302.5599976
21/11/2011;297.2799988
28/11/2011;312.2399902
05/12/2011;308
12/12/2011;290.1600037
19/12/2011;307.9200134
26/12/2011;304.8800049
02/01/2012;313.7600098
09/01/2012;305.2799988
16/01/2012;302.2399902
23/01/2012;306.3999939
30/01/2012;300.7200012
06/02/2012;304.1600037
13/02/2012;318
20/02/2012;336.0799866
27/02/2012;326.1600037
05/03/2012;328.7200012
12/03/2012;328.2399902
19/03/2012;325.519989
26/03/2012;313.8399963
02/04/2012;314.0799866
09/04/2012;313.2000122
16/04/2012;315.1199951
23/04/2012;316.9599915
30/04/2012;298.3200073
07/05/2012;290.0799866
14/05/2012;275.4400024
21/05/2012;273.7600098
28/05/2012;251.4400024
04/06/2012;254.3999939
11/06/2012;253.0399933
18/06/2012;240.8000031
25/06/2012;254.6399994
02/07/2012;252.7200012
09/07/2012;261.4400024
16/07/2012;273.6000061
23/07/2012;269.3599854
30/07/2012;272.5599976
06/08/2012;278.7999878
13/08/2012;287.6000061
20/08/2012;285.4400024
27/08/2012;287.1199951
03/09/2012;287.0400085
10/09/2012;294.7200012
17/09/2012;275.9200134
24/09/2012;272.9599915
01/10/2012;266.7999878
08/10/2012;272
15/10/2012;266.7200012
22/10/2012;254.3200073
29/10/2012;250.8000031
05/11/2012;253.8399963
12/11/2012;255.4400024
19/11/2012;258.5599976
26/11/2012;260.480011
03/12/2012;252.2400055
10/12/2012;254.4799957
17/12/2012;258.8800049
24/12/2012;264.3200073
31/12/2012;271.0400085
07/01/2013;272.480011
14/01/2013;278.1600037
21/01/2013;278.2399902
28/01/2013;282.7999878
04/02/2013;277.6000061
11/02/2013;277.7600098
18/02/2013;268.7999878
25/02/2013;261.9200134
04/03/2013;264.3999939
11/03/2013;268.7999878
18/03/2013;268.8800049
25/03/2013;278
01/04/2013;266.2399902
08/04/2013;260.2399902
15/04/2013;251.1199951
22/04/2013;264.9599915
29/04/2013;272.0799866
06/05/2013;273.1199951
13/05/2013;273.6799927
20/05/2013;266.9599915
27/05/2013;260.8800049
03/06/2013;273.2799988
10/06/2013;277.9200134
17/06/2013;265.8399963
24/06/2013;273.4400024
01/07/2013;292.480011
08/07/2013;300.480011
15/07/2013;307.6000061
22/07/2013;297.6799927
29/07/2013;303.519989
05/08/2013;300.7200012
12/08/2013;307.2000122
19/08/2013;303.6000061
26/08/2013;307.8399963
02/09/2013;314.8800049
09/09/2013;310.7999878
16/09/2013;302.1600037
23/09/2013;295.6799927
30/09/2013;298.480011
07/10/2013;294
14/10/2013;291.6000061
21/10/2013;282.5599976
28/10/2013;273.0400085
04/11/2013;272.0799866
11/11/2013;271.0400085
18/11/2013;272.3200073
25/11/2013;267.6799927
02/12/2013;280.3999939
09/12/2013;277.1199951
16/12/2013;283.8399963
23/12/2013;286.7200012
30/12/2013;270
06/01/2014;265.519989
13/01/2014;269.519989
20/01/2014;276.6400146
27/01/2014;278.3999939
03/02/2014;285.1199951
10/02/2014;287.2799988
17/02/2014;293.519989
24/02/2014;293.9200134
03/03/2014;294.2399902
10/03/2014;284.2399902
17/03/2014;286.7200012
24/03/2014;292.9599915
31/03/2014;291.4400024
07/04/2014;297.4400024
14/04/2014;301.2799988
21/04/2014;292.7999878
28/04/2014;290.3200073
05/05/2014;291.2000122
12/05/2014;297.8399963
19/05/2014;305.4400024
26/05/2014;301.4400024
02/06/2014;300.8800049
09/06/2014;312.9599915
16/06/2014;314.5599976
23/06/2014;311.8399963
30/06/2014;306
07/07/2014;297.2799988
14/07/2014;301.7600098
21/07/2014;302.1600037
28/07/2014;289.519989
04/08/2014;288.9599915
11/08/2014;283.519989
18/08/2014;279.6799927
25/08/2014;286.0799866
01/09/2014;279.2000122
08/09/2014;275.0400085
15/09/2014;276.5599976
22/09/2014;281.2799988
29/09/2014;270.1600037
06/10/2014;257.4400024
13/10/2014;250
20/10/2014;247.0399933
27/10/2014;245.0399933
03/11/2014;238.0800018
10/11/2014;230.6399994
17/11/2014;232.8000031
24/11/2014;204.6399994
01/12/2014;199.6799927
08/12/2014;175.4400024
15/12/2014;175.6799927
22/12/2014;166.2400055
29/12/2014;159.1199951
05/01/2015;146.2400055
12/01/2015;146.6399994
19/01/2015;136
26/01/2015;142.5599976
02/02/2015;155.7599945
09/02/2015;156.9600067
16/02/2015;149.1999969
23/02/2015;144.8000031
02/03/2015;145.9199982
09/03/2015;134.3999939
16/03/2015;131.4400024
23/03/2015;137.1199951
30/03/2015;140.4799957
06/04/2015;147.2799988
13/04/2015;158.7200012
20/04/2015;157.3600006
27/04/2015;163.1999969
04/05/2015;163.3600006
11/05/2015;164.1600037
18/05/2015;162
25/05/2015;162.4799957
01/06/2015;159.1999969
08/06/2015;162.1600037
15/06/2015;160.1600037
22/06/2015;159.8399963
29/06/2015;151.4400024
06/07/2015;141.3600006
13/07/2015;135.9199982
20/07/2015;128.2400055
27/07/2015;124.7200012
03/08/2015;116.4800034
